method,seed,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
AMSC-no-norm,86,0.5234929368655327,0.25110951150021055,0.2253975516342568,4.464285714285714,5.464285714285714,5.450774377974552
AMSC-no-norm,87,0.5146766899711788,0.2664186931445334,0.21890461688428778,4.607142857142857,5.607142857142857,5.5928177125576966
AMSC-no-norm,88,0.5127445644550103,0.2646991703956044,0.22255626514938526,4.607142857142857,5.607142857142857,5.593309136305729
AMSC-no-norm,89,0.5194558592479194,0.25860127118536136,0.22194286956671924,4.535714285714286,5.535714285714286,5.521510831947915
AMSC-no-norm,90,0.513995137087698,0.26705891416160643,0.21894594875069565,4.571428571428571,5.571428571428571,5.555548687796039
AMSC-no-norm,91,0.5167534114116286,0.2609349695552994,0.22231161903307203,4.607142857142857,5.607142857142857,5.591369206535022
AMSC-no-norm,92,0.5317808639858012,0.23742751301853812,0.23079162299566075,4.357142857142857,5.357142857142857,5.344243701683472
AMSC-norm,86,0.6057330041351819,0.05393672170480742,0.34033027416001055,2.4642857142857144,3.4642857142857144,3.4589802225610176
AMSC-norm,87,0.5935186112485215,0.05414581246873267,0.35233557628274587,2.2142857142857144,3.2142857142857144,3.209862991192415
AMSC-norm,88,0.6097587845322777,0.05497396989543039,0.3352672455722918,2.4285714285714284,3.4285714285714284,3.4222324882235
AMSC-norm,89,0.5933445597990676,0.05468180023367971,0.3519736399672526,2.2142857142857144,3.2142857142857144,3.208797589138882
AMSC-norm,90,0.5959360742807254,0.054841512396357435,0.3492224133229172,2.25,3.25,3.244227972876684
AMSC-norm,91,0.5994459026919958,0.05436846649527239,0.3461856308127319,2.4285714285714284,3.4285714285714284,3.4227366078196857
AMSC-norm,92,0.6075449233648614,0.05457674551801529,0.33787833111712334,2.357142857142857,3.357142857142857,3.3510558847311396
AMSC-shuffled,86,0.14058564041294458,0.4883772117516047,0.3710371478354507,2.25,3.25,3.2468255542419238
AMSC-shuffled,87,0.08512145634249822,0.5238303017573595,0.3910482419001423,1.9642857142857142,2.9642857142857144,2.961335878502918
AMSC-shuffled,88,0.06891797830355736,0.5608570626446895,0.3702249590517531,2.142857142857143,3.142857142857143,3.13945550847336
AMSC-shuffled,89,0.1263897183075741,0.5029438724025507,0.37066640928987515,2.1785714285714284,3.1785714285714284,3.175757987434891
AMSC-shuffled,90,0.1284487996988661,0.497186924203593,0.37436427609754086,2.142857142857143,3.142857142857143,3.1389789539413075
AMSC-shuffled,91,0.12136305292952286,0.5096210118106,0.36901593525987714,2.25,3.25,3.2460725414502756
AMSC-shuffled,92,0.13452443067986386,0.4980421980296695,0.36743337129046666,2.2142857142857144,3.2142857142857144,3.211276405933224
