method,metric,mean,ci_low,ci_high,n_seeds
AMSC-no-norm,support_size,4.962857142857142,4.9099099670502495,5.015804318664034,7
AMSC-no-norm,support_fraction,0.42910666834481326,0.42544315330691707,0.43277018338270945,7
AMSC-no-norm,same_family_precision,0.7464029431216932,0.7387106431604062,0.7540952430829801,7
AMSC-no-norm,same_family_recall,0.999375,0.99815,1.0,7
AMSC-no-norm,any_same_family,1.0,1.0,1.0,7
AMSC-no-norm,jaccard_stability,0.9868551348710078,0.9843897936329667,0.9893204761090489,7
AMSC-no-norm,first_correct_found,1.0,1.0,1.0,7
AMSC-no-norm,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-no-norm,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-norm,support_size,2.6968452380952384,2.6421782623169796,2.751512213873497,7
AMSC-norm,support_fraction,0.18412548596136316,0.18128515690456867,0.18696581501815765,7
AMSC-norm,same_family_precision,1.0,1.0,1.0,7
AMSC-norm,same_family_recall,0.8420585317460318,0.830075903098677,0.8540411603933867,7
AMSC-norm,any_same_family,1.0,1.0,1.0,7
AMSC-norm,jaccard_stability,0.9336459836459837,0.9294318094422909,0.9378601578496766,7
AMSC-norm,first_correct_found,1.0,1.0,1.0,7
AMSC-norm,selection_events_until_first_correct,1.0,1.0,1.0,7
AMSC-norm,steps_until_first_correct,512.0,512.0,512.0,7
AMSC-shuffled,support_size,2.528154761904762,2.438470946939816,2.6178385768697083,7
AMSC-shuffled,support_fraction,0.17528704252659413,0.17184922250231346,0.1787248625508748,7
AMSC-shuffled,same_family_precision,0.22086607142857143,0.21684918050967397,0.22488296234746888,7
AMSC-shuffled,same_family_recall,0.17517261904761905,0.16949993917935044,0.18084529891588766,7
AMSC-shuffled,any_same_family,0.4726190476190476,0.4597708743809738,0.4854672208571214,7
AMSC-shuffled,jaccard_stability,0.1257520686317584,0.11996541409876696,0.13153872316474982,7
AMSC-shuffled,first_correct_found,1.0,1.0,1.0,7
AMSC-shuffled,selection_events_until_first_correct,2.5714285714285716,2.143085510579236,2.9997716322779073,7
AMSC-shuffled,steps_until_first_correct,1316.5714285714287,1097.2597814165688,1535.8830757262886,7
