method,seed,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
Mask-SC-3,86,3,0.5159979949216111,0.0,0.4840020050783889,1.0,2.0,1.9950977740153577
Mask-SC-3,86,4,0.680001872931199,0.0,0.319998127068801,2.0,3.0,2.9921905266044786
Mask-SC-3,86,5,0.7600265018051975,0.0,0.23997349819480251,3.0,4.0,3.989343879955073
Mask-SC-3,86,6,0.7567912121656905,0.0,0.2432087878343096,3.0,4.0,3.9928440004919117
Mask-SC-3,86,7,0.7542770507532315,0.0,0.24572294924676846,3.0,4.0,3.9913944568926993
Mask-SC-3,86,8,0.7565305117942209,0.0,0.24346948820577902,3.0,4.0,3.9927779682735345
Mask-SC-3,87,3,0.5167279403876401,0.0,0.48327205961235986,1.0,2.0,1.9957417228510248
Mask-SC-3,87,4,0.6761996545622859,0.0,0.3238003454377141,2.0,3.0,2.9942293988549866
Mask-SC-3,87,5,0.758209281134671,0.0,0.241790718865329,3.0,4.0,3.991189677612197
Mask-SC-3,87,6,0.7534884268889123,0.0,0.24651157311108773,3.0,4.0,3.989224002045262
Mask-SC-3,87,7,0.7548895446934336,0.0,0.24511045530656633,3.0,4.0,3.991876479152021
Mask-SC-3,87,8,0.7554173532801021,0.0,0.2445826467198979,3.0,4.0,3.9918374804407746
Mask-SC-3,88,3,0.518988759182188,0.0,0.48101124081781194,1.0,2.0,1.9949778641813514
Mask-SC-3,88,4,0.6792588510543469,0.0,0.32074114894565314,2.0,3.0,2.9934735858284114
Mask-SC-3,88,5,0.754298457707073,0.0,0.24570154229292687,3.0,4.0,3.9909165126650805
Mask-SC-3,88,6,0.7574335701690564,0.0,0.2425664298309436,3.0,4.0,3.991283706949745
Mask-SC-3,88,7,0.756649838616835,0.0,0.243350161383165,3.0,4.0,3.992366387600349
Mask-SC-3,88,8,0.7607095794635885,0.0,0.23929042053641153,3.0,4.0,3.991582491584185
Mask-SC-3,89,3,0.516023995883794,0.0,0.48397600411620606,1.0,2.0,1.99592070165391
Mask-SC-3,89,4,0.6789613574335529,0.0,0.3210386425664471,2.0,3.0,2.993163910113414
Mask-SC-3,89,5,0.7595479987628997,0.0,0.24045200123710025,3.0,4.0,3.9909746479755515
Mask-SC-3,89,6,0.7517931655259289,0.0,0.24820683447407116,3.0,4.0,3.9846628153006822
Mask-SC-3,89,7,0.7547354246575739,0.0,0.24526457534242613,3.0,4.0,3.99064042440763
Mask-SC-3,89,8,0.7564972869557172,0.0,0.2435027130442829,3.0,4.0,3.993992861105189
Mask-SC-3,90,3,0.5203075761349489,0.0,0.4796924238650511,1.0,2.0,1.9948517012951408
Mask-SC-3,90,4,0.6796454888634645,0.0,0.3203545111365354,2.0,3.0,2.993439661822592
Mask-SC-3,90,5,0.7601140441227733,0.0,0.23988595587722672,3.0,4.0,3.991181402724412
Mask-SC-3,90,6,0.7527229172064887,0.0,0.2472770827935114,3.0,4.0,3.988171577374453
Mask-SC-3,90,7,0.752164941806148,0.0,0.24783505819385193,3.0,4.0,3.991628625974773
Mask-SC-3,90,8,0.7555014387835172,0.0,0.24449856121648283,3.0,4.0,3.9936881059616787
Mask-SC-3,91,3,0.5214921877126777,0.0,0.4785078122873223,1.0,2.0,1.9935263363317328
Mask-SC-3,91,4,0.6782184558188528,0.0,0.3217815441811472,2.0,3.0,2.9937183819462354
Mask-SC-3,91,5,0.7597781659382676,0.0,0.24022183406173236,3.0,4.0,3.991150836688248
Mask-SC-3,91,6,0.7603569791332438,0.0,0.23964302086675618,3.0,4.0,3.9912057085470347
Mask-SC-3,91,7,0.7651333930798119,0.0,0.23486660692018818,3.0,4.0,3.992385496865385
Mask-SC-3,91,8,0.7660230604441101,0.0,0.23397693955588994,3.0,4.0,3.9910886974482724
Mask-SC-3,92,3,0.5170431390768468,0.0,0.4829568609231531,1.0,2.0,1.9957601630074064
Mask-SC-3,92,4,0.678678281027224,0.0,0.321321718972776,2.0,3.0,2.9933680277397876
Mask-SC-3,92,5,0.7600154414211869,0.0,0.2399845585788131,3.0,4.0,3.990280614137722
Mask-SC-3,92,6,0.76033662050999,0.0,0.23966337949000996,3.0,4.0,3.992100055322688
Mask-SC-3,92,7,0.7546077191665701,0.0,0.24539228083342995,3.0,4.0,3.9897490517427325
Mask-SC-3,92,8,0.7564422077150281,0.0,0.2435577922849719,3.0,4.0,3.9912712501306844
