threshold,selection_cap,n_seeds,n_seed_tasks,support_size,same_family_precision,same_family_recall,any_same_family,parent_selected,jaccard_stability
0.3,3,7,168,2.9995833333333333,0.8334027777777776,0.8083333333333336,1.0,0.9770833333333332,0.9168710918710918
0.4,3,7,168,2.870119047619048,0.8653670634920633,0.8083333333333336,1.0,0.9770833333333332,0.9094486531986533
0.5,3,7,168,2.5,1.0,0.8083333333333336,1.0,0.9770833333333332,0.9351671476671476
0.6,3,7,168,2.499761904761905,1.0,0.8082440476190478,1.0,0.9769047619047618,0.9350769600769601
0.7,3,7,168,2.4641071428571424,1.0,0.79571626984127,0.9983928571428571,0.9742261904761904,0.9199104136604136
0.75,3,7,168,2.2242261904761906,1.0,0.7022083333333334,0.9744047619047619,0.946607142857143,0.841043370210037
0.8,3,7,168,1.5682738095238098,1.0,0.4388958333333334,0.802202380952381,0.7575595238095237,0.7255451338784672
0.85,3,7,168,0.659047619047619,1.0,0.14866765873015875,0.4192857142857144,0.37166666666666665,0.7386483886483887
0.9,3,7,168,0.10410714285714287,1.0,0.020450396825396823,0.09285714285714285,0.06970238095238096,0.9113355780022447
0.95,3,7,168,0.013333333333333332,1.0,0.002353174603174603,0.013214285714285711,0.011666666666666664,0.9874037999037998
